start	end
2017-09-07 12:46:30	2017-09-07 17:18:30
2017-09-07 21:44:15	2017-09-07 21:51:45
2017-09-07 22:12:45	2017-09-07 22:42:30
2017-09-07 23:02:15	2017-09-09 19:56:45
2017-09-10 00:44:15	2017-09-10 19:50:45
2017-09-11 03:51:00	2017-09-11 16:33:45
2017-09-11 17:08:30	2017-09-11 17:38:45
2017-09-11 18:01:30	2017-09-11 18:31:15
2017-09-13 03:35:00	2017-09-13 19:29:00
2017-09-14 08:02:00	2017-09-14 18:29:45
2017-09-14 19:23:30	2017-09-14 19:31:15
2017-09-15 04:23:45	2017-09-15 17:51:00
2017-09-16 09:35:00	2017-09-16 17:29:45
2017-09-17 09:39:30	2017-09-17 17:01:00
2017-09-18 09:34:15	2017-09-18 10:14:00
2017-09-18 10:19:00	2017-09-18 11:00:15
2017-09-18 11:05:15	2017-09-18 11:36:15
2017-09-18 11:40:15	2017-09-18 12:12:00
2017-09-18 12:15:15	2017-09-18 12:46:00
2017-09-18 12:49:15	2017-09-18 13:23:45
2017-09-18 13:26:30	2017-09-18 14:39:15
2017-09-18 14:43:00	2017-09-18 15:18:00
2017-09-18 15:20:30	2017-09-18 16:00:00
2017-09-18 16:02:30	2017-09-18 16:35:15
2017-09-18 16:40:15	2017-09-18 16:41:45
2017-09-18 17:36:30	2017-09-18 17:54:30
2017-09-18 17:56:00	2017-09-18 18:12:15
2017-09-18 18:13:45	2017-09-18 18:26:00
2017-09-19 02:27:00	2017-09-19 02:34:15
2017-09-19 02:35:30	2017-09-19 16:19:45
2017-09-19 16:21:45	2017-09-19 16:45:00
2017-09-19 16:47:00	2017-09-19 16:47:15
2017-09-20 06:41:45	2017-09-20 16:15:00
2017-09-20 16:22:45	2017-09-20 16:36:00
2017-09-21 06:54:30	2017-09-21 07:49:30
2017-09-21 07:57:45	2017-09-21 14:09:15
2017-09-21 14:11:15	2017-09-21 14:53:45
2017-09-21 14:57:00	2017-09-21 15:29:00
2017-09-21 15:32:00	2017-09-21 15:54:30
2017-09-21 15:57:00	2017-09-21 16:13:15
2017-09-21 16:15:15	2017-09-21 16:20:00
2017-09-21 16:53:30	2017-09-21 16:56:15
2017-09-21 16:57:30	2017-09-21 17:05:45
2017-09-21 17:08:15	2017-09-21 17:15:00
2017-09-21 17:16:45	2017-09-21 17:23:45
2017-09-21 17:25:30	2017-09-21 17:27:15
2017-09-21 17:47:15	2017-09-21 17:49:15
2017-09-21 17:50:15	2017-09-21 17:50:30
2017-09-22 05:07:15	2017-09-22 05:49:15
2017-09-22 05:57:15	2017-09-22 15:26:00
2017-09-22 15:27:30	2017-09-22 15:36:15
2017-09-22 15:54:00	2017-09-22 15:55:15
2017-09-22 15:56:45	2017-09-22 16:06:15
2017-09-22 16:07:30	2017-09-22 16:18:00
2017-09-22 16:18:45	2017-09-22 16:30:15
2017-09-22 16:31:00	2017-09-22 16:41:15
2017-09-22 16:42:00	2017-09-22 16:49:45
2017-09-22 16:50:45	2017-09-22 16:57:15
2017-09-22 16:57:45	2017-09-22 17:04:00
2017-09-22 17:04:15	2017-09-22 17:05:45
2017-09-23 08:55:15	2017-09-23 14:56:30
2017-09-23 15:03:15	2017-09-23 15:45:15
2017-09-24 10:54:15	2017-09-24 11:03:45
2017-09-24 11:12:30	2017-09-24 11:54:15
2017-09-24 12:01:00	2017-09-24 12:42:45
2017-09-24 12:49:00	2017-09-24 13:27:30
2017-09-24 13:32:30	2017-09-24 14:04:15
2017-09-24 14:09:00	2017-09-24 14:37:00
2017-09-24 14:42:00	2017-09-24 14:54:45
2017-09-24 15:01:15	2017-09-24 15:06:15
