StartTime,EndTime,XX,XX,XX,XX
2010.3591680937,2010.3592166096,1.0000000000,100.0000000000,0.0022992770,0.2675157274
2010.3603192041,2010.3604023694,0.0000000000,0.0000000000,0.0011025945,-0.5881086603
2010.3619976315,2010.3620656758,0.0000000000,0.0000000000,0.0015952621,0.3973138919
2010.3647636036,2010.3648187786,1.0000000000,6.0000000000,0.0026979277,0.5622406244
2010.3658566400,2010.3659070586,1.0000000000,6.0000000000,0.0010378614,-0.7857584487
2010.3675290145,2010.3675870433,1.0000000000,6.0000000000,0.0016219559,0.7412207718
2010.3686610540,2010.3687114726,1.0000000000,6.0000000000,0.0010740107,-0.8518436005
2010.3704808789,2010.3705341515,1.0000000000,6.0000000000,0.0017694063,0.6359434367
2010.3732672887,2010.3733428936,0.0000000000,0.0000000000,0.0027331372,0.7294485894
2010.3742308789,2010.3742860540,1.0000000000,2.0000000000,0.0008879853,-0.9428967994
2010.3760759132,2010.3761268074,1.0000000000,2.0000000000,0.0017898592,0.7288734198
2010.3771018836,2010.3771561074,1.0000000000,2.0000000000,0.0009750762,-0.8900953514
2010.3788256279,2010.3788731926,1.0000000000,2.0000000000,0.0016695205,0.7500428511
2010.3798825153,2010.3799438737,1.0000000000,2.0000000000,0.0010093227,-0.8416415913
2010.3816195775,2010.3816852170,1.0000000000,2.0000000000,0.0016757038,0.6059721254
2010.3843650115,2010.3844182838,1.0000000000,2.0000000000,0.0026797945,0.4176259501
2010.3857363014,2010.3857938545,1.0000000000,2.0000000000,0.0013180175,-0.5689806500
2010.3870543189,2010.3871123477,1.0000000000,2.0000000000,0.0012604644,0.2039939868
2010.3886501142,2010.3886991058,1.0000000000,2.0000000000,0.0015377666,-0.3621050417
2010.3898515981,2010.3899024923,1.0000000000,2.0000000000,0.0011524923,-0.0960972644
2010.3916067351,2010.3916595321,1.0000000000,2.0000000000,0.0017042427,-0.0470995898
2010.3926742948,2010.3927597283,0.0000000000,0.0000000000,0.0010147627,-0.4072551182
2010.3945205479,2010.3945666858,1.0000000000,2.0000000000,0.0017608197,0.2507664378
2010.3955193049,2010.3955873492,0.0000000000,0.0000000000,0.0009526191,-0.7096799862
2010.3978895548,2010.3979428271,1.0000000000,2.0000000000,0.0023022056,0.1839128515
2010.4004252282,2010.4004732688,1.0000000000,2.0000000000,0.0024824011,0.6133083575
2010.4014036295,2010.4014867948,0.0000000000,0.0000000000,0.0009303607,-1.1045451709
2010.4031887367,2010.4032543759,1.0000000000,2.0000000000,0.0017019419,0.6845801545
2010.4042812975,2010.4043393266,1.0000000000,2.0000000000,0.0010269216,-1.0765837628
